"extract_date","date","mod_zcta","total_ed_visits","ili_pne_visits","ili_pne_admissions"
"2022-02-22T00:00:00.000","2021-12-06T00:00:00.000","10454","103","7","1"
"2022-02-22T00:00:00.000","2021-01-20T00:00:00.000","11434","59","5","2"
"2022-02-22T00:00:00.000","2021-02-15T00:00:00.000","11233","98","5","1"
"2022-02-22T00:00:00.000","2020-08-05T00:00:00.000","11417","18","0","0"
"2022-02-22T00:00:00.000","2021-03-24T00:00:00.000","10037","43","1","0"
"2022-02-22T00:00:00.000","2020-06-13T00:00:00.000","11427","10","0","0"
"2022-02-22T00:00:00.000","2022-01-03T00:00:00.000","10282","3","0","0"
"2022-02-22T00:00:00.000","2020-04-16T00:00:00.000","11417","13","4","4"
"2022-02-22T00:00:00.000","2021-02-10T00:00:00.000","10018","9","0","0"
"2022-02-22T00:00:00.000","2021-06-10T00:00:00.000","11362","4","0","0"
"2022-02-22T00:00:00.000","2021-09-30T00:00:00.000","11360","2","0","0"
"2022-02-22T00:00:00.000","2021-05-18T00:00:00.000","10468","114","2","0"
"2022-02-22T00:00:00.000","2020-04-26T00:00:00.000","10012","4","1","0"
"2022-02-22T00:00:00.000","2020-12-24T00:00:00.000","11233","107","7","0"
"2022-02-22T00:00:00.000","2021-12-14T00:00:00.000","11422","24","2","0"
"2022-02-22T00:00:00.000","2021-09-25T00:00:00.000","10039","33","3","1"
"2022-02-22T00:00:00.000","2021-05-23T00:00:00.000","11208","114","3","2"
"2022-02-22T00:00:00.000","2020-07-22T00:00:00.000","11413","23","0","0"
"2022-02-22T00:00:00.000","2020-03-08T00:00:00.000","11366","7","1","0"
"2022-02-22T00:00:00.000","2020-09-23T00:00:00.000","10021","18","1","1"
"2022-02-22T00:00:00.000","2020-03-30T00:00:00.000","10307","8","4","2"
"2022-02-22T00:00:00.000","2020-09-28T00:00:00.000","10030","53","1","0"
"2022-02-22T00:00:00.000","2022-02-15T00:00:00.000","11225","62","3","2"
"2022-02-22T00:00:00.000","2021-11-09T00:00:00.000","11433","39","2","0"
"2022-02-22T00:00:00.000","2020-06-23T00:00:00.000","11420","35","1","1"
"2022-02-22T00:00:00.000","2021-11-23T00:00:00.000","11366","11","1","1"
"2022-02-22T00:00:00.000","2020-11-29T00:00:00.000","11369","40","2","1"
"2022-02-22T00:00:00.000","2020-07-26T00:00:00.000","11434","52","3","1"
"2022-02-22T00:00:00.000","2021-01-03T00:00:00.000","11237","46","3","0"
"2022-02-22T00:00:00.000","2021-05-14T00:00:00.000","11364","10","0","0"
"2022-02-22T00:00:00.000","2020-03-20T00:00:00.000","11361","6","1","1"
"2022-02-22T00:00:00.000","2020-03-08T00:00:00.000","11208","145","16","1"
"2022-02-22T00:00:00.000","2020-12-21T00:00:00.000","10302","27","7","3"
"2022-02-22T00:00:00.000","2020-03-14T00:00:00.000","10037","38","3","0"
"2022-02-22T00:00:00.000","2020-12-01T00:00:00.000","10464","4","0","0"
"2022-02-22T00:00:00.000","2020-03-28T00:00:00.000","10001","36","3","0"
"2022-02-22T00:00:00.000","2021-03-17T00:00:00.000","10303","53","3","1"
"2022-02-22T00:00:00.000","2020-11-05T00:00:00.000","10030","51","1","1"
"2022-02-22T00:00:00.000","2021-03-18T00:00:00.000","11385","78","12","5"
"2022-02-22T00:00:00.000","2020-08-07T00:00:00.000","11354","34","2","2"
"2022-02-22T00:00:00.000","2021-07-09T00:00:00.000","11218","60","5","3"
"2022-02-22T00:00:00.000","2020-10-30T00:00:00.000","10459","76","3","1"
"2022-02-22T00:00:00.000","2021-05-21T00:00:00.000","10314","77","1","1"
"2022-02-22T00:00:00.000","2021-09-06T00:00:00.000","11103","45","3","0"
"2022-02-22T00:00:00.000","2020-08-31T00:00:00.000","10457","179","3","1"
"2022-02-22T00:00:00.000","2021-05-23T00:00:00.000","11417","21","0","0"
"2022-02-22T00:00:00.000","2022-01-02T00:00:00.000","10019","75","5","2"
"2022-02-22T00:00:00.000","2021-02-26T00:00:00.000","10457","203","14","2"
"2022-02-22T00:00:00.000","2020-08-02T00:00:00.000","11215","28","1","0"
"2022-02-22T00:00:00.000","2021-08-17T00:00:00.000","11235","91","6","1"
"2022-02-22T00:00:00.000","2021-08-06T00:00:00.000","10030","52","3","0"
"2022-02-22T00:00:00.000","2021-07-03T00:00:00.000","10014","8","0","0"
"2022-02-22T00:00:00.000","2021-11-12T00:00:00.000","10460","106","3","0"
"2022-02-22T00:00:00.000","2021-04-22T00:00:00.000","11101","37","1","0"
"2022-02-22T00:00:00.000","2020-04-22T00:00:00.000","10030","24","5","4"
"2022-02-22T00:00:00.000","2021-07-29T00:00:00.000","10452","131","12","1"
"2022-02-22T00:00:00.000","2021-11-02T00:00:00.000","11216","54","3","0"
"2022-02-22T00:00:00.000","2021-06-10T00:00:00.000","11379","19","0","0"
"2022-02-22T00:00:00.000","2020-12-30T00:00:00.000","11203","109","9","2"
"2022-02-22T00:00:00.000","2020-09-10T00:00:00.000","10458","131","4","1"
"2022-02-22T00:00:00.000","2021-05-12T00:00:00.000","11432","75","7","0"
"2022-02-22T00:00:00.000","2021-08-22T00:00:00.000","11691","100","7","2"
"2022-02-22T00:00:00.000","2020-04-22T00:00:00.000","11232","9","3","2"
"2022-02-22T00:00:00.000","2021-01-27T00:00:00.000","10474","16","1","1"
"2022-02-22T00:00:00.000","2020-10-12T00:00:00.000","11426","3","0","0"
"2022-02-22T00:00:00.000","2020-11-22T00:00:00.000","10456","118","3","3"
"2022-02-22T00:00:00.000","2021-06-26T00:00:00.000","10461","59","3","0"
"2022-02-22T00:00:00.000","2020-12-12T00:00:00.000","10010","16","0","0"
"2022-02-22T00:00:00.000","2020-04-15T00:00:00.000","10305","19","1","1"
"2022-02-22T00:00:00.000","2021-11-09T00:00:00.000","10455","99","3","1"
"2022-02-22T00:00:00.000","2021-09-12T00:00:00.000","11433","51","1","0"
"2022-02-22T00:00:00.000","2020-06-12T00:00:00.000","11220","52","4","2"
"2022-02-22T00:00:00.000","2020-04-12T00:00:00.000","10451","51","13","8"
"2022-02-22T00:00:00.000","2021-06-28T00:00:00.000","10466","122","8","2"
"2022-02-22T00:00:00.000","2021-03-07T00:00:00.000","10309","23","3","1"
"2022-02-22T00:00:00.000","2020-06-26T00:00:00.000","10014","9","1","0"
"2022-02-22T00:00:00.000","2021-08-28T00:00:00.000","11368","134","14","1"
"2022-02-22T00:00:00.000","2020-09-29T00:00:00.000","11426","8","0","0"
"2022-02-22T00:00:00.000","2021-06-30T00:00:00.000","10017","17","1","1"
"2022-02-22T00:00:00.000","2021-07-16T00:00:00.000","10466","100","6","1"
"2022-02-22T00:00:00.000","2021-09-11T00:00:00.000","11434","83","7","1"
"2022-02-22T00:00:00.000","2020-12-02T00:00:00.000","11427","18","2","1"
"2022-02-22T00:00:00.000","2021-07-07T00:00:00.000","10033","42","2","0"
"2022-02-22T00:00:00.000","2021-01-19T00:00:00.000","10005","6","0","0"
"2022-02-22T00:00:00.000","2021-07-09T00:00:00.000","11368","167","12","1"
"2022-02-22T00:00:00.000","2020-03-30T00:00:00.000","11225","53","18","11"
"2022-02-22T00:00:00.000","2020-10-15T00:00:00.000","11004","21","1","0"
"2022-02-22T00:00:00.000","2020-06-05T00:00:00.000","10471","8","1","0"
"2022-02-22T00:00:00.000","2021-12-27T00:00:00.000","11203","224","47","5"
"2022-02-22T00:00:00.000","2020-03-11T00:00:00.000","11414","15","0","0"
"2022-02-22T00:00:00.000","2021-10-02T00:00:00.000","10009","54","2","0"
"2022-02-22T00:00:00.000","2021-02-16T00:00:00.000","11414","16","2","2"
"2022-02-22T00:00:00.000","2020-06-24T00:00:00.000","11212","134","4","3"
"2022-02-22T00:00:00.000","2020-04-07T00:00:00.000","10466","63","19","10"
"2022-02-22T00:00:00.000","2020-03-02T00:00:00.000","10303","48","3","1"
"2022-02-22T00:00:00.000","2021-01-28T00:00:00.000","11229","70","9","4"
"2022-02-22T00:00:00.000","2021-12-31T00:00:00.000","11221","112","28","4"
"2022-02-22T00:00:00.000","2021-11-30T00:00:00.000","11221","121","10","1"
"2022-02-22T00:00:00.000","2021-10-14T00:00:00.000","11692","42","4","0"
"2022-02-22T00:00:00.000","2021-03-29T00:00:00.000","11365","30","5","3"
"2022-02-22T00:00:00.000","2020-06-26T00:00:00.000","11413","15","0","0"
"2022-02-22T00:00:00.000","2021-12-30T00:00:00.000","11361","13","5","0"
"2022-02-22T00:00:00.000","2021-03-20T00:00:00.000","10306","46","2","1"
"2022-02-22T00:00:00.000","2021-01-28T00:00:00.000","11693","12","0","0"
"2022-02-22T00:00:00.000","2020-03-01T00:00:00.000","10470","17","1","0"
"2022-02-22T00:00:00.000","2020-05-04T00:00:00.000","10009","41","2","1"
"2022-02-22T00:00:00.000","2020-06-28T00:00:00.000","10458","82","3","1"
"2022-02-22T00:00:00.000","2021-11-29T00:00:00.000","11212","169","12","3"
"2022-02-22T00:00:00.000","2020-05-12T00:00:00.000","11208","77","5","3"
"2022-02-22T00:00:00.000","2021-05-05T00:00:00.000","10040","32","0","0"
"2022-02-22T00:00:00.000","2021-12-23T00:00:00.000","11420","41","10","3"
"2022-02-22T00:00:00.000","2021-06-26T00:00:00.000","11356","18","1","0"
"2022-02-22T00:00:00.000","2020-04-01T00:00:00.000","10474","21","6","1"
"2022-02-22T00:00:00.000","2020-06-02T00:00:00.000","10301","41","3","2"
"2022-02-22T00:00:00.000","2020-11-14T00:00:00.000","11694","9","1","1"
"2022-02-22T00:00:00.000","2021-07-29T00:00:00.000","10461","87","4","1"
"2022-02-22T00:00:00.000","2020-09-19T00:00:00.000","11109","1","0","0"
"2022-02-22T00:00:00.000","2021-09-12T00:00:00.000","10029","150","5","1"
"2022-02-22T00:00:00.000","2020-10-22T00:00:00.000","11417","25","0","0"
"2022-02-22T00:00:00.000","2020-10-21T00:00:00.000","10312","38","3","2"
"2022-02-22T00:00:00.000","2021-03-16T00:00:00.000","10017","8","0","0"
"2022-02-22T00:00:00.000","2020-11-27T00:00:00.000","11203","96","6","3"
"2022-02-22T00:00:00.000","2021-01-05T00:00:00.000","10027","88","5","1"
"2022-02-22T00:00:00.000","2020-05-20T00:00:00.000","11433","29","2","0"
"2022-02-22T00:00:00.000","2020-12-27T00:00:00.000","11209","54","6","1"
"2022-02-22T00:00:00.000","2020-06-09T00:00:00.000","11105","10","0","0"
"2022-02-22T00:00:00.000","2021-04-29T00:00:00.000","10301","72","3","1"
"2022-02-22T00:00:00.000","2021-05-30T00:00:00.000","11207","109","8","0"
"2022-02-22T00:00:00.000","2020-10-12T00:00:00.000","11230","52","3","3"
"2022-02-22T00:00:00.000","2020-07-03T00:00:00.000","10306","24","0","0"
"2022-02-22T00:00:00.000","2021-07-30T00:00:00.000","11102","48","3","0"
"2022-02-22T00:00:00.000","2021-08-20T00:00:00.000","11368","161","17","2"
"2022-02-22T00:00:00.000","2020-11-17T00:00:00.000","10011","40","0","0"
"2022-02-22T00:00:00.000","2020-10-02T00:00:00.000","11355","51","1","0"
"2022-02-22T00:00:00.000","2020-03-26T00:00:00.000","11374","25","16","6"
"2022-02-22T00:00:00.000","2021-08-28T00:00:00.000","10301","52","4","1"
"2022-02-22T00:00:00.000","2021-12-15T00:00:00.000","10005","10","1","0"
"2022-02-22T00:00:00.000","2020-07-19T00:00:00.000","11223","44","1","0"
"2022-02-22T00:00:00.000","2020-10-29T00:00:00.000","11363","1","0","0"
"2022-02-22T00:00:00.000","2021-08-23T00:00:00.000","11212","190","10","1"
"2022-02-22T00:00:00.000","2020-03-05T00:00:00.000","11367","22","2","0"
"2022-02-22T00:00:00.000","2021-08-16T00:00:00.000","10035","99","4","1"
"2022-02-22T00:00:00.000","2020-05-13T00:00:00.000","11231","14","2","2"
"2022-02-22T00:00:00.000","2020-09-21T00:00:00.000","10025","79","1","0"
"2022-02-22T00:00:00.000","2020-05-28T00:00:00.000","10474","20","2","1"
"2022-02-22T00:00:00.000","2020-07-23T00:00:00.000","11691","69","0","0"
"2022-02-22T00:00:00.000","2021-06-10T00:00:00.000","10003","34","1","0"
"2022-02-22T00:00:00.000","2021-02-05T00:00:00.000","10470","16","1","0"
"2022-02-22T00:00:00.000","2020-04-29T00:00:00.000","11357","5","2","2"
"2022-02-22T00:00:00.000","2020-11-27T00:00:00.000","11209","38","5","3"
"2022-02-22T00:00:00.000","2021-05-13T00:00:00.000","10464","2","0","0"
"2022-02-22T00:00:00.000","2021-10-23T00:00:00.000","10065","14","0","0"
"2022-02-22T00:00:00.000","2021-05-29T00:00:00.000","10035","53","4","0"
"2022-02-22T00:00:00.000","2021-12-17T00:00:00.000","10304","72","18","2"
"2022-02-22T00:00:00.000","2021-07-24T00:00:00.000","11374","24","1","1"
"2022-02-22T00:00:00.000","2020-09-29T00:00:00.000","11105","26","0","0"
"2022-02-22T00:00:00.000","2020-06-27T00:00:00.000","11369","26","2","1"
"2022-02-22T00:00:00.000","2021-06-12T00:00:00.000","10469","74","2","0"
"2022-02-22T00:00:00.000","2021-11-10T00:00:00.000","11234","76","9","0"
"2022-02-22T00:00:00.000","2020-06-10T00:00:00.000","11370","26","1","0"
"2022-02-22T00:00:00.000","2022-02-14T00:00:00.000","11237","63","3","2"
"2022-02-22T00:00:00.000","2020-11-23T00:00:00.000","10013","14","1","0"
"2022-02-22T00:00:00.000","2020-05-02T00:00:00.000","10308","16","1","1"
"2022-02-22T00:00:00.000","2020-09-27T00:00:00.000","11436","20","1","1"
"2022-02-22T00:00:00.000","2022-01-09T00:00:00.000","11105","27","2","0"
"2022-02-22T00:00:00.000","2021-06-12T00:00:00.000","11375","38","3","0"
"2022-02-22T00:00:00.000","2021-11-27T00:00:00.000","10016","66","5","1"
"2022-02-22T00:00:00.000","2020-05-26T00:00:00.000","11207","108","1","0"
"2022-02-22T00:00:00.000","2021-07-11T00:00:00.000","10012","10","0","0"
"2022-02-22T00:00:00.000","2021-01-17T00:00:00.000","11694","13","2","2"
"2022-02-22T00:00:00.000","2021-11-27T00:00:00.000","11368","135","11","1"
"2022-02-22T00:00:00.000","2020-05-25T00:00:00.000","11219","49","2","1"
"2022-02-22T00:00:00.000","2021-08-11T00:00:00.000","10305","52","3","1"
"2022-02-22T00:00:00.000","2021-12-24T00:00:00.000","11233","146","36","10"
"2022-02-22T00:00:00.000","2021-05-22T00:00:00.000","11231","40","3","0"
"2022-02-22T00:00:00.000","2020-07-25T00:00:00.000","11355","46","3","2"
"2022-02-22T00:00:00.000","2022-01-20T00:00:00.000","11411","32","2","1"
"2022-02-22T00:00:00.000","2021-07-15T00:00:00.000","11103","38","1","0"
"2022-02-22T00:00:00.000","2022-01-02T00:00:00.000","11231","34","5","0"
"2022-02-22T00:00:00.000","2020-03-28T00:00:00.000","11215","34","8","1"
"2022-02-22T00:00:00.000","2021-01-30T00:00:00.000","11219","52","7","3"
"2022-02-22T00:00:00.000","2020-07-20T00:00:00.000","10004","1","0","0"
"2022-02-22T00:00:00.000","2021-12-26T00:00:00.000","11358","22","6","1"
"2022-02-22T00:00:00.000","2021-10-09T00:00:00.000","10282","2","0","0"
"2022-02-22T00:00:00.000","2021-04-13T00:00:00.000","10036","23","0","0"
"2022-02-22T00:00:00.000","2020-09-07T00:00:00.000","11691","67","0","0"
"2022-02-22T00:00:00.000","2021-02-14T00:00:00.000","10014","24","0","0"
"2022-02-22T00:00:00.000","2021-07-13T00:00:00.000","10011","22","1","1"
"2022-02-22T00:00:00.000","2020-10-30T00:00:00.000","11433","40","1","0"
"2022-02-22T00:00:00.000","2020-09-28T00:00:00.000","10308","17","0","0"
"2022-02-22T00:00:00.000","2021-09-23T00:00:00.000","10302","33","1","0"
"2022-02-22T00:00:00.000","2021-07-18T00:00:00.000","10312","44","3","1"
"2022-02-22T00:00:00.000","2021-06-23T00:00:00.000","11416","19","0","0"
"2022-02-22T00:00:00.000","2021-08-28T00:00:00.000","10025","77","3","3"
"2022-02-22T00:00:00.000","2021-02-25T00:00:00.000","10466","99","5","2"
"2022-02-22T00:00:00.000","2020-05-26T00:00:00.000","11233","87","1","0"
"2022-02-22T00:00:00.000","2021-02-03T00:00:00.000","11357","12","4","2"
"2022-02-22T00:00:00.000","2021-01-31T00:00:00.000","11416","14","2","1"
"2022-02-22T00:00:00.000","2021-02-19T00:00:00.000","11213","78","6","0"
"2022-02-22T00:00:00.000","2021-10-23T00:00:00.000","10010","11","0","0"
"2022-02-22T00:00:00.000","2021-03-13T00:00:00.000","10012","10","2","0"
"2022-02-22T00:00:00.000","2021-06-22T00:00:00.000","10033","57","3","0"
"2022-02-22T00:00:00.000","2020-05-24T00:00:00.000","10473","37","0","0"
"2022-02-22T00:00:00.000","2021-08-18T00:00:00.000","10475","54","5","0"
"2022-02-22T00:00:00.000","2021-10-25T00:00:00.000","11222","25","0","0"
"2022-02-22T00:00:00.000","2020-07-09T00:00:00.000","11357","14","2","1"
"2022-02-22T00:00:00.000","2021-06-05T00:00:00.000","10314","59","0","0"
"2022-02-22T00:00:00.000","2021-01-30T00:00:00.000","11212","136","10","4"
"2022-02-22T00:00:00.000","2021-04-20T00:00:00.000","11233","105","5","1"
"2022-02-22T00:00:00.000","2022-02-03T00:00:00.000","10457","158","8","4"
"2022-02-22T00:00:00.000","2021-03-16T00:00:00.000","11102","42","2","1"
"2022-02-22T00:00:00.000","2021-05-09T00:00:00.000","11225","56","3","1"
"2022-02-22T00:00:00.000","2021-08-06T00:00:00.000","11106","38","4","2"
"2022-02-22T00:00:00.000","2021-06-18T00:00:00.000","10305","55","0","0"
"2022-02-22T00:00:00.000","2021-06-26T00:00:00.000","11378","22","2","0"
"2022-02-22T00:00:00.000","2021-01-15T00:00:00.000","10307","10","4","3"
"2022-02-22T00:00:00.000","2020-11-17T00:00:00.000","10003","35","2","1"
"2022-02-22T00:00:00.000","2020-03-30T00:00:00.000","11420","36","19","5"
"2022-02-22T00:00:00.000","2020-06-21T00:00:00.000","11219","50","0","0"
"2022-02-22T00:00:00.000","2021-01-13T00:00:00.000","10027","75","2","0"
"2022-02-22T00:00:00.000","2020-07-01T00:00:00.000","10038","22","2","2"
"2022-02-22T00:00:00.000","2021-10-30T00:00:00.000","11225","43","1","1"
"2022-02-22T00:00:00.000","2020-11-07T00:00:00.000","11217","17","1","0"
"2022-02-22T00:00:00.000","2021-12-18T00:00:00.000","10025","89","15","1"
"2022-02-22T00:00:00.000","2021-07-08T00:00:00.000","11692","27","1","0"
"2022-02-22T00:00:00.000","2021-05-19T00:00:00.000","11358","14","1","0"
"2022-02-22T00:00:00.000","2021-03-30T00:00:00.000","11691","91","15","7"
"2022-02-22T00:00:00.000","2021-09-27T00:00:00.000","11358","26","2","1"
"2022-02-22T00:00:00.000","2021-08-19T00:00:00.000","10472","101","6","1"
"2022-02-22T00:00:00.000","2021-09-14T00:00:00.000","10013","9","1","0"
"2022-02-22T00:00:00.000","2021-04-23T00:00:00.000","10036","35","0","0"
"2022-02-22T00:00:00.000","2021-07-05T00:00:00.000","10014","19","1","0"
"2022-02-22T00:00:00.000","2020-04-17T00:00:00.000","10463","35","10","4"
"2022-02-22T00:00:00.000","2021-10-14T00:00:00.000","11231","25","1","0"
"2022-02-22T00:00:00.000","2021-05-08T00:00:00.000","10038","21","2","0"
"2022-02-22T00:00:00.000","2021-01-28T00:00:00.000","10474","25","0","0"
"2022-02-22T00:00:00.000","2021-06-11T00:00:00.000","10461","60","2","0"
"2022-02-22T00:00:00.000","2021-07-19T00:00:00.000","10463","75","1","1"
"2022-02-22T00:00:00.000","2021-09-06T00:00:00.000","10303","46","1","0"
"2022-02-22T00:00:00.000","2020-11-18T00:00:00.000","11203","120","4","0"
"2022-02-22T00:00:00.000","2021-05-28T00:00:00.000","10475","33","1","0"
"2022-02-22T00:00:00.000","2021-05-01T00:00:00.000","11232","23","2","0"
"2022-02-22T00:00:00.000","2021-02-05T00:00:00.000","10034","42","2","1"
"2022-02-22T00:00:00.000","2021-02-10T00:00:00.000","10308","24","5","1"
"2022-02-22T00:00:00.000","2021-12-31T00:00:00.000","10038","23","1","0"
"2022-02-22T00:00:00.000","2021-02-02T00:00:00.000","11223","62","15","3"
"2022-02-22T00:00:00.000","2020-07-04T00:00:00.000","10309","16","0","0"
"2022-02-22T00:00:00.000","2021-09-06T00:00:00.000","10308","29","3","0"
